variation_id,run_number,crn_seed,final_status,years_survived,final_population,final_resources,final_health,distance_covered,disease_outbreaks,overcrowding_events,critical_rationing,normal_rationing,min_resources,max_resources,mean_resources,std_resources,total_weight,initial_population,ship_capacity,initial_resources,birth_rate,death_rate,resource_gen_rate,lightspeed_fraction,health_index,diff_initial_population,diff_ship_capacity,diff_initial_resources,diff_birth_rate,diff_death_rate,diff_resource_gen_rate,diff_lightspeed_fraction,diff_health_index
base,63,105,Success,720,21,2053.4472281052153,98.0,40161613694976.07,31,2,86,182,1515.2063416449878,105548.79825206831,26136.70069824235,22518.253454082424,78636.70069824235,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,64,106,Success,720,16,1763.080566738006,107.80000000000001,40161613694976.07,32,2,98,176,1064.562071990566,101720.5750684086,27686.764376803207,28822.121165627927,80186.76437680321,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,65,107,Success,720,12,1292.6165056801324,107.80000000000001,40161613694976.07,36,2,94,177,856.0602351859116,106028.16917796913,15677.372489614989,23086.26492861885,68177.372489615,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,66,108,Success,720,14,1729.7121485293765,98.0,40161613694976.07,34,2,93,187,638.1676699662271,99591.22038419114,13571.41045934686,20576.05278607463,66071.41045934687,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,67,109,Success,720,4,400.80069789718164,107.80000000000001,40161613694976.07,34,2,96,179,219.69571513035095,108825.66806817366,19028.625935209973,27363.849965576876,71528.62593520997,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,68,110,Failed,678,0,165.75891694530867,100.0,37818852896102.6,47,2,97,148,84.2047264043006,94541.52490460995,14819.331543770988,20049.30724974167,67319.33154377098,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,69,111,Success,720,10,1121.556297195091,107.80000000000001,40161613694976.07,43,2,88,169,775.4412520582516,85139.35620060394,18160.24299130181,20664.862877110696,70660.24299130181,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,70,112,Success,720,5,465.98246431650244,107.80000000000001,40161613694976.07,45,2,92,190,444.48729174525397,97622.05585980357,12930.80782165216,19822.883738619978,65430.80782165216,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,71,113,Success,720,19,1779.089436606695,88.2,40161613694976.07,40,2,93,191,1185.6229738062552,99504.3845986274,14081.003966990136,21815.567233376358,66581.00396699013,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,72,114,Success,720,10,831.4344296255533,88.2,40161613694976.07,37,2,92,184,789.5163554444946,114069.32355517011,23632.93272216802,27442.1946709766,76132.93272216801,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
