ship_capacity,initial_resources,resource_gen_rate,weight_mean,weight_std,success_rate,avg_resources_mean,avg_resources_std,final_pop_mean,final_pop_std,efficiency_ratio
1100,90000,102.0,72826.5,3766.87,88.0,17826.5,3766.87,7.73,6.65,0.001208351355619177
1100,90000,103.0,80732.56,6458.98,100.0,25732.56,6458.98,29.6,19.69,0.0012386576122446755
1100,90000,104.0,95655.11,10855.78,100.0,40655.11,10855.78,121.65,92.54,0.0010454224557370747
1100,90000,105.0,120725.63,14491.72,100.0,65725.63,14491.72,396.07,210.76,0.0008283245239639669
1100,95000,95.0,68000.86,1508.16,0.0,13000.86,1508.16,0.0,0.0,0.0
1100,95000,96.0,68304.11,1630.26,0.0,13304.11,1630.26,0.0,0.0,0.0
1100,95000,97.0,68411.65,1731.67,0.0,13411.65,1731.67,0.0,0.0,0.0
1100,95000,98.0,68853.27,1886.45,0.0,13853.27,1886.45,0.0,0.0,0.0
1100,95000,99.0,69038.67,2116.84,0.0,14038.67,2116.84,0.0,0.0,0.0
1100,95000,100.0,68931.5,2242.05,1.0,13931.5,2242.05,0.03,0.3,1.4507155654526595e-05
1100,95000,101.0,69509.14,2399.29,25.0,14509.14,2399.29,1.01,2.97,0.000359664930396204
1100,95000,102.0,72805.94,3622.85,88.0,17805.94,3622.85,8.04,6.66,0.0012086925874454748
1100,95000,103.0,80515.34,6171.45,100.0,25515.34,6171.45,30.98,22.08,0.0012419993506827395
1100,95000,104.0,95553.35,10135.76,100.0,40553.35,10135.76,122.58,91.69,0.0010465357834131403
1100,95000,105.0,120886.95,13683.17,100.0,65886.95,13683.17,400.62,222.22,0.00082721914979243
1100,100000,95.0,68016.72,1507.81,0.0,13016.72,1507.81,0.0,0.0,0.0
1100,100000,96.0,68318.47,1630.8,0.0,13318.47,1630.8,0.0,0.0,0.0
1100,100000,97.0,68424.29,1731.65,0.0,13424.29,1731.65,0.0,0.0,0.0
1100,100000,98.0,68864.52,1886.45,0.0,13864.52,1886.45,0.0,0.0,0.0
1100,100000,99.0,69048.17,2116.81,0.0,14048.17,2116.81,0.0,0.0,0.0
1100,100000,100.0,68939.61,2242.38,1.0,13939.61,2242.38,0.03,0.3,1.4505449044460797e-05
1100,100000,101.0,69520.63,2406.46,25.0,14520.63,2406.46,1.01,2.97,0.0003596054868892874
1100,100000,102.0,72811.99,3623.06,88.0,17811.99,3623.06,8.04,6.66,0.0012085921563193094
1100,100000,103.0,80547.67,6182.89,100.0,25547.67,6182.89,31.02,22.16,0.0012415008404339939
1100,100000,104.0,95728.61,10314.4,100.0,40728.61,10314.4,123.61,93.29,0.0010446197850360515
1100,100000,105.0,120681.52,13562.85,100.0,65681.52,13562.85,401.25,222.95,0.0008286272827853013
1100,105000,95.0,68019.21,1508.76,0.0,13019.21,1508.76,0.0,0.0,0.0
1100,105000,96.0,68320.69,1631.23,0.0,13320.69,1631.23,0.0,0.0,0.0
1100,105000,97.0,68426.25,1732.14,0.0,13426.25,1732.14,0.0,0.0,0.0
1100,105000,98.0,68866.19,1886.61,0.0,13866.19,1886.61,0.0,0.0,0.0
1100,105000,99.0,69049.59,2116.96,0.0,14049.59,2116.96,0.0,0.0,0.0
1100,105000,100.0,68940.79,2242.61,1.0,13940.79,2242.61,0.03,0.3,1.450520076720908e-05
1100,105000,101.0,69521.65,2406.6,25.0,14521.65,2406.6,1.01,2.97,0.0003596002108695637
1100,105000,102.0,72812.9,3623.07,88.0,17812.9,3623.07,8.04,6.66,0.0012085770515938797
1100,105000,103.0,80548.63,6182.79,100.0,25548.63,6182.79,31.02,22.16,0.0012414860438967118
